,symbol,notionalLimit
0,BTCUSDT,100000000
1,ETHUSDT,50000000
2,BCHUSDT,3000000
3,XRPUSDT,6000000
4,EOSUSDT,4000000
5,LTCUSDT,5000000
6,TRXUSDT,3000000
7,ETCUSDT,3000000
8,LINKUSDT,6000000
9,XLMUSDT,3000000
10,ADAUSDT,6000000
11,XMRUSDT,3000000
12,DASHUSDT,1000000
13,ZECUSDT,2000000
14,XTZUSDT,3000000
15,BNBUSDT,5000000
16,ATOMUSDT,3000000
17,ONTUSDT,1000000
18,IOTAUSDT,1000000
19,BATUSDT,1000000
20,VETUSDT,1000000
21,NEOUSDT,1000000
22,QTUMUSDT,1000000
23,IOSTUSDT,1000000
24,THETAUSDT,3000000
25,ALGOUSDT,1000000
26,ZILUSDT,1000000
27,KNCUSDT,2000000
28,ZRXUSDT,1000000
29,COMPUSDT,1000000
30,OMGUSDT,1000000
31,DOGEUSDT,6000000
32,SXPUSDT,1000000
33,KAVAUSDT,1000000
34,BANDUSDT,1000000
35,RLCUSDT,1000000
36,WAVESUSDT,2000000
37,MKRUSDT,1000000
38,SNXUSDT,2000000
39,DOTUSDT,6000000
40,DEFIUSDT,1000000
41,YFIUSDT,1000000
42,BALUSDT,1000000
43,CRVUSDT,2000000
44,TRBUSDT,1000000
45,RUNEUSDT,2000000
46,SUSHIUSDT,1000000
47,EGLDUSDT,2000000
48,SOLUSDT,6000000
49,ICXUSDT,1000000
50,STORJUSDT,1000000
51,BLZUSDT,1000000
52,UNIUSDT,2000000
53,AVAXUSDT,4000000
54,FTMUSDT,4000000
55,ENJUSDT,2000000
56,FLMUSDT,1000000
57,RENUSDT,1000000
58,KSMUSDT,1000000
59,NEARUSDT,3000000
60,AAVEUSDT,1000000
61,FILUSDT,3000000
62,RSRUSDT,1000000
63,LRCUSDT,1000000
64,MATICUSDT,4800000
65,OCEANUSDT,1000000
66,BELUSDT,1000000
67,AXSUSDT,6000000
68,ALPHAUSDT,1000000
69,ZENUSDT,1000000
70,SKLUSDT,1000000
71,GRTUSDT,2000000
72,1INCHUSDT,2000000
73,CHZUSDT,1000000
74,SANDUSDT,3000000
75,ANKRUSDT,1000000
76,LITUSDT,1000000
77,UNFIUSDT,1000000
78,REEFUSDT,1000000
79,RVNUSDT,1000000
80,SFPUSDT,1000000
81,XEMUSDT,1000000
82,COTIUSDT,1000000
83,CHRUSDT,2000000
84,MANAUSDT,2000000
85,ALICEUSDT,1000000
86,HBARUSDT,1000000
87,ONEUSDT,1000000
88,LINAUSDT,1000000
89,STMXUSDT,1000000
90,DENTUSDT,1000000
91,CELRUSDT,1000000
92,HOTUSDT,1000000
93,MTLUSDT,1000000
94,OGNUSDT,1000000
95,NKNUSDT,1000000
96,1000SHIBUSDT,3000000
97,BAKEUSDT,1000000
98,GTCUSDT,1000000
99,BTCDOMUSDT,1000000
100,IOTXUSDT,1000000
101,AUDIOUSDT,1000000
102,C98USDT,1000000
103,MASKUSDT,3000000
104,ATAUSDT,1000000
105,DYDXUSDT,4000000
106,1000XECUSDT,1000000
107,GALAUSDT,2000000
108,CELOUSDT,1000000
109,ARUSDT,1000000
110,KLAYUSDT,2000000
111,ARPAUSDT,1000000
112,CTSIUSDT,1000000
113,LPTUSDT,1000000
114,ENSUSDT,1000000
115,PEOPLEUSDT,1000000
116,ROSEUSDT,1000000
117,DUSKUSDT,1000000
118,FLOWUSDT,1000000
119,IMXUSDT,1000000
120,API3USDT,1000000
121,GMTUSDT,3000000
122,APEUSDT,2000000
123,WOOUSDT,1000000
124,JASMYUSDT,1000000
125,DARUSDT,1000000
126,GALUSDT,1000000
127,OPUSDT,2000000
128,INJUSDT,1000000
129,STGUSDT,1000000
130,SPELLUSDT,1000000
131,1000LUNCUSDT,1000000
132,LUNA2USDT,1000000
133,LDOUSDT,3000000
134,CVXUSDT,1000000
135,ICPUSDT,1000000
136,APTUSDT,5000000
137,QNTUSDT,1000000
138,FETUSDT,1000000
139,FXSUSDT,1000000
140,HOOKUSDT,1000000
141,MAGICUSDT,2000000
142,TUSDT,1000000
143,RNDRUSDT,1000000
144,HIGHUSDT,1000000
145,MINAUSDT,1000000
146,ASTRUSDT,1000000
147,AGIXUSDT,2000000
148,PHBUSDT,1000000
149,GMXUSDT,1000000
150,CFXUSDT,4000000
151,STXUSDT,3000000
152,BNXUSDT,1000000
153,ACHUSDT,1000000
154,SSVUSDT,1000000
155,CKBUSDT,1000000
156,PERPUSDT,1000000
157,TRUUSDT,1000000
158,LQTYUSDT,1000000
159,USDCUSDT,10000000
160,IDUSDT,1000000
161,ARBUSDT,2000000
162,JOEUSDT,1000000
163,TLMUSDT,1000000
164,AMBUSDT,1000000
165,LEVERUSDT,1000000
166,RDNTUSDT,1000000
167,HFTUSDT,1000000
168,XVSUSDT,1000000
169,ETHBTC,2000
170,BLURUSDT,1000000
171,EDUUSDT,1000000
172,IDEXUSDT,1000000
173,SUIUSDT,1000000
174,1000PEPEUSDT,1000000
175,1000FLOKIUSDT,1000000
176,UMAUSDT,1000000
177,RADUSDT,1000000
178,KEYUSDT,1000000
179,COMBOUSDT,1000000
180,NMRUSDT,1000000
181,MAVUSDT,1000000
182,MDTUSDT,1000000
183,XVGUSDT,1000000
184,WLDUSDT,1000000
185,PENDLEUSDT,1000000
186,ARKMUSDT,1000000
187,AGLDUSDT,1000000
188,YGGUSDT,1000000
189,DODOXUSDT,1000000
190,BNTUSDT,1000000
191,OXTUSDT,1000000
192,SEIUSDT,1000000
193,CYBERUSDT,1000000
194,HIFIUSDT,1000000
195,ARKUSDT,1000000
196,FRONTUSDT,1000000
197,GLMRUSDT,1000000
198,BICOUSDT,1000000
199,LOOMUSDT,1000000
200,BIGTIMEUSDT,1000000
201,BONDUSDT,1000000
202,ORBSUSDT,1000000
203,STPTUSDT,1000000
204,WAXPUSDT,1000000
205,BSVUSDT,1000000
206,RIFUSDT,1000000
207,POLYXUSDT,1000000
208,GASUSDT,1000000
209,POWRUSDT,1000000
210,SLPUSDT,1000000
211,TIAUSDT,1000000
212,SNTUSDT,1000000
213,CAKEUSDT,1000000
214,MEMEUSDT,1000000
215,TWTUSDT,1000000
216,TOKENUSDT,1000000
217,ORDIUSDT,1000000
218,STEEMUSDT,1000000
219,BADGERUSDT,1000000
220,ILVUSDT,1000000
221,NTRNUSDT,1000000
222,MBLUSDT,1000000
223,KASUSDT,1000000
224,BEAMXUSDT,1000000
225,1000BONKUSDT,1000000
226,PYTHUSDT,1000000
227,SUPERUSDT,1000000
228,USTCUSDT,1000000
229,ONGUSDT,1000000
230,ETHWUSDT,1000000
231,JTOUSDT,1000000
232,1000SATSUSDT,1000000
233,AUCTIONUSDT,1000000
234,1000RATSUSDT,1000000
235,ACEUSDT,1000000
236,MOVRUSDT,1000000
237,NFPUSDT,1000000
238,BTCUSDT_240628,40000000
239,ETHUSDT_240628,40000000
240,BTCUSDC,1000000
241,ETHUSDC,1000000
242,BNBUSDC,1000000
243,SOLUSDC,1000000
244,XRPUSDC,1000000
245,AIUSDT,1000000
246,XAIUSDT,1000000
247,DOGEUSDC,1000000
248,WIFUSDT,1000000
249,MANTAUSDT,1000000
250,ONDOUSDT,1000000
251,LSKUSDT,1000000
252,ALTUSDT,1000000
253,JUPUSDT,1000000
254,ZETAUSDT,1000000
255,RONINUSDT,1000000
256,DYMUSDT,1000000
257,SUIUSDC,1000000
258,OMUSDT,1000000
259,LINKUSDC,1000000
260,PIXELUSDT,1000000
261,STRKUSDT,1000000
262,MAVIAUSDT,1000000
263,ORDIUSDC,1000000
264,GLMUSDT,1000000
